FID,Shape *,Id,lat,long,video_url,vid_url2,name,name_alt,descrip,descrip2
0,Point,0,61.4765,-156.094,https://www.youtube.com/embed/oKfOU9yzzxQ?rel=0&amp;showinfo=0,,Allis Chalmers NPS Rescue,,An Introduction...,
1,Point,0,40.285,-96.832,https://www.youtube.com/embed/pQSCW1Sf-yA?rel=0&amp;showinfo=0,,Impact of the Homestead Act of 1862,,"A brief introduction to the Homestead Act of 1862 and the impacts it had on the land, the people, and the future of the United States of America.",
2,Point,0,40.2913,-96.8355,https://www.youtube.com/embed/VOPV8MgVzP4?rel=0&amp;showinfo=0,https://www.youtube.com/embed/pMfH-u55MLg?rel=0&amp;showinfo=0,Welcome to Homestead!,Bienvenido a Homestead!,"Homestead National Monument of America is a unit of the National Park Service located 4 miles west of Beatrice, Nebraska. The Monument was established to preserve and relay the importance of the Homestead Act of 1862 as well as the impacts it had on the land, people and history of the United States of America.","El Monumento Nacional de Homestead de America es parte del Servicio Nacional de Parques de los Estados Unidos cerca de la ciudad de Beatrice en el estado de Nebraska. Este Monumento fue establecido para preservar y conservar la importancia de la Ley de Homestead del 1862 y el impacto que tuvo en la tierra, las personas y la historia de los Estados Unidos de America."
3,Point,0,40.3000,-96.9000,https://www.periscope.tv/w/1LyxBbEBAabxN,,Periscope Trial,,Test to see if Periscope archival video will display in irame popups through NPMap Builder,
